selection,reason,source_id,docid,ky_hieu,loai,co_quan,ngay_ban_hanh,ngay_hieu_luc,trich_yeu,url_vb,pdf_local,chars,status,notes
SUPPORT,Văn bản hướng dẫn trực tiếp cho nguồn CORE,nd120_2025,213894,120/2025/NĐ-CP,Nghị định,Chính phủ,2025-06-11,2025-07-01,Nghị định quy định về phân định thẩm quyền của chính quyền địa phương 02 cấp trong lĩnh vực quản lý nhà nước của Bộ Tư pháp,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-120-2025-nd-cp-45062/56730.htm,,29361,active_verified,congbao.chinhphu.vn
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",nd123_2015,182158,123/2015/NĐ-CP,Nghị định,Chính phủ,15-11-2015,01-01-2016,Quy định chi tiết một số điều và biện pháp thi hành Luật Hộ tịch,https://vanban.chinhphu.vn/?pageid=27160&docid=182158,data/private_cache/vbpq/nd123_2015.pdf,52646,active_verified,
SUPPORT,Văn bản hướng dẫn trực tiếp cho nguồn CORE,nd126_2014,178372,126/2014/NĐ-CP,Nghị định,Chính phủ,31-12-2014,15-02-2015,Quy định chi tiết một số điều và biện pháp thi hành Luật Hôn nhân và gia đình,https://vanban.chinhphu.vn/?pageid=27160&docid=178372,data/private_cache/vbpq/nd126_2014.pdf,74856,active_verified,
SUPPORT,Văn bản hướng dẫn trực tiếp cho nguồn CORE,nd135_2020,201650,135/2020/NĐ-CP,Nghị định,Chính phủ,2020-11-18,2021-01-01,Nghị định quy định về tuổi nghỉ hưu,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-135-2020-nd-cp-32525.htm,,15814,active_verified,congbao.chinhphu.vn
SUPPORT,Văn bản hướng dẫn trực tiếp cho nguồn CORE,nd145_2020,201967,145/2020/NĐ-CP,Nghị định,Chính phủ,2020-12-14,2021-02-01,Nghị định quy định chi tiết và hướng dẫn thi hành một số điều của Bộ luật Lao động về điều kiện lao động và quan hệ lao động,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-145-2020-nd-cp-32732.htm,,237917,active_verified,congbao.chinhphu.vn
SUPPORT,Văn bản hướng dẫn trực tiếp cho nguồn CORE,nd151_2025,213927,151/2025/NĐ-CP,Nghị định,Chính phủ,2025-06-12,2025-07-01,"Nghị định quy định về phân định thẩm quyền của chính quyền địa phương 02 cấp, phân quyền, phân cấp trong lĩnh vực đất đai",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-151-2025-nd-cp-45191.htm,,427177,active_verified,congbao.chinhphu.vn
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",nd154_2024,211821,154/2024/NĐ-CP,Nghị định,Chính phủ,26-11-2024,10-01-2025,Quy định chi tiết một số điều và biện pháp thi hành Luật Cư trú,https://vanban.chinhphu.vn/?pageid=27160&docid=211821,data/private_cache/vbpq/nd154_2024.pdf,40298,active_verified,
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",nd158_2025,214189,158/2025/NĐ-CP,Nghị định,Chính phủ,2025-06-25,2025-07-01,Nghị định quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm xã hội về bảo hiểm xã hội bắt buộc,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-158-2025-nd-cp-45240/57069.htm,,116765,active_verified,congbao.chinhphu.vn
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",nd159_2025,214269,159/2025/NĐ-CP,Nghị định,Chính phủ,2025-06-25,2025-07-01,Nghị định quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm xã hội về bảo hiểm xã hội tự nguyện,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-159-2025-nd-cp-45253/57094.htm,,32355,active_verified,congbao.chinhphu.vn
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,nd161_2026,218107,161/2026/NĐ-CP,Nghị định,Chính phủ,2026-05-15,2026-07-01,"Nghị định quy định mức lương cơ sở và chế độ tiền thưởng đối với cán bộ, công chức, viên chức và lực lượng vũ trang",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-161-2026-nd-cp-469550.htm,,12415,active_verified,congbao.chinhphu.vn
SUPPORT,Văn bản hướng dẫn trực tiếp cho nguồn CORE,nd168_2024,212167,168/2024/NĐ-CP,Nghị định,Chính phủ,2024-12-26,2025-01-01,"Nghị định quy định xử phạt vi phạm hành chính về trật tự, an toàn giao thông trong lĩnh vực giao thông đường bộ; trừ điểm, phục hồi điểm giấy phép lái xe",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-168-2024-nd-cp-43733/54010.htm,,254260,active_verified,congbao.chinhphu.vn
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",nd176_2025,214435,176/2025/NĐ-CP,Nghị định,Chính phủ,2025-06-30,2025-07-01,Nghị định quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm xã hội về trợ cấp hưu trí xã hội,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-176-2025-nd-cp-45409/57399.htm,,15801,active_verified,congbao.chinhphu.vn
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",nd188_2025,214515,188/2025/NĐ-CP,Nghị định,Chính phủ,2025-07-01,2025-08-15,Nghị định quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm y tế,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-188-2025-nd-cp-45593/57770.htm,,223795,active_verified,congbao.chinhphu.vn
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",nd191_2025,214527,191/2025/NĐ-CP,Nghị định,Chính phủ,2025-06-27,2025-07-01,Nghị định quy định chi tiết một số điều và biện pháp thi hành Luật Quốc tịch Việt Nam,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-191-2025-nd-cp-45602/57788.htm,,61422,active_verified,congbao.chinhphu.vn
SUPPORT,Văn bản hướng dẫn trực tiếp cho nguồn CORE,nd20_2021,202811,20/2021/NĐ-CP,Nghị định,Chính phủ,2021-03-15,2021-07-01,Nghị định quy định chính sách trợ giúp xã hội đối với đối tượng bảo trợ xã hội,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-20-2021-nd-cp-33456/35239.htm,,93463,active_verified,congbao.chinhphu.vn
HOLD_PENDING,Chưa có hiệu lực tại thời điểm xác minh,nd283_2026,218871,283/2026/NĐ-CP,Nghị định,Chính phủ,2026-07-15,2026-09-10,"Nghị định quy định xử phạt vi phạm hành chính trong lĩnh vực lao động, bảo hiểm xã hội, người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-283-2026-nd-cp-470103.htm,,214549,pending_effective,congbao.chinhphu.vn
SUPPORT,Văn bản hướng dẫn trực tiếp cho nguồn CORE,nd293_2025,215832,293/2025/NĐ-CP,Nghị định,Chính phủ,2025-11-10,2026-01-01,Nghị định quy định mức lương tối thiểu đối với người lao động làm việc theo hợp đồng lao động,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-293-2025-nd-cp-46568.htm,,28635,active_verified,congbao.chinhphu.vn
SUPPORT,Văn bản hướng dẫn trực tiếp cho nguồn CORE,nd351_2025,216360,351/2025/NĐ-CP,Nghị định,Chính phủ,2025-12-30,2026-02-15,Nghị định quy định chuẩn nghèo đa chiều quốc gia giai đoạn 2026 - 2030,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-351-2025-nd-cp-468331.htm,,8803,active_verified,congbao.chinhphu.vn
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",nd374_2025,216493,374/2025/NĐ-CP,Nghị định,Chính phủ,2025-12-01,2026-01-01,Nghị định quy định chi tiết thi hành một số điều của Luật Việc làm về bảo hiểm thất nghiệp,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-374-2025-nd-cp-468724.htm,,170498,active_verified,congbao.chinhphu.vn
EXCLUDE_EXPIRED,Không đưa văn bản hết hiệu lực vào corpus hiện hành,nd62_2021,203460,62/2021/NĐ-CP,Nghị định,Chính phủ,29-06-2021,01-07-2021,Quy định chi tiết một số điều Luật Cư trú,https://vanban.chinhphu.vn/?pageid=27160&docid=203460,data/private_cache/vbpq/nd62_2021.pdf,29615,expired,
EXCLUDE_EXPIRED,Không đưa văn bản hết hiệu lực vào corpus hiện hành,nd73_2024,,73/2024/NĐ-CP,Nghị định,Chính phủ,2024-06-30,2024-07-01,"Nghị định quy định mức lương cơ sở và chế độ tiền thưởng đối với cán bộ, công chức, viên chức và lực lượng vũ trang",https://vanban.chinhphu.vn,,1893,expired,legacy stub (round19)
EXCLUDE_EXPIRED,Không đưa văn bản hết hiệu lực vào corpus hiện hành,nd74_2024,,74/2024/NĐ-CP,Nghị định,Chính phủ,2024-06-30,2024-07-01,Nghị định quy định mức lương tối thiểu đối với người lao động làm việc theo hợp đồng lao động,https://vanban.chinhphu.vn,,1940,expired,legacy stub (round19)
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,nd76_2024,210543,76/2024/NĐ-CP,Nghị định,Chính phủ,2024-06-30,2024-07-01,"Nghị định sửa đổi, bổ sung một số điều của Nghị định số 20/2021/NĐ-CP quy định chính sách trợ giúp xã hội đối với đối tượng bảo trợ xã hội",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-76-2024-nd-cp-42227/50778.htm,,4104,active_verified,congbao.chinhphu.vn
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,tt79_2024,211945,79/2024/TT-BCA,Thông tư,Bộ Công an,2024-11-15,2025-01-01,"Thông tư quy định về cấp, thu hồi chứng nhận đăng ký xe, biển số xe cơ giới, xe máy chuyên dùng",https://congbao.chinhphu.vn/van-ban/thong-tu-so-79-2024-tt-bca-43337/53043.htm,,159804,active_verified,congbao.chinhphu.vn
